quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,24441000000.0,4788000000.0,23509000000.0,13998000000.0,
2023Q2,28770000000.0,16476000000.0,28666000000.0,17309000000.0,5647000000.0
2023Q3,30583000000.0,21217000000.0,30656000000.0,20402000000.0,6974000000.0
2023Q4,18853000000.0,42465000000.0,18915000000.0,19404000000.0,143000000.0
2024Q1,31917000000.0,18989000000.0,28848000000.0,19246000000.0,5475000000.0
2024Q2,37195000000.0,25281000000.0,26640000000.0,19370000000.0,6081000000.0
2024Q3,34180000000.0,25971000000.0,30698000000.0,24724000000.0,7427000000.0
2024Q4,22291000000.0,45636000000.0,39113000000.0,27988000000.0,1304000000.0
2025Q1,37044000000.0,17015000000.0,36150000000.0,24026000000.0,5933000000.0
2025Q2,42647000000.0,32515000000.0,27747000000.0,25561000000.0,6157000000.0
2025Q3,45057000000.0,35525000000.0,48414000000.0,29999000000.0,8140000000.0
2025Q4,35758000000.0,54459000000.0,52402000000.0,36214000000.0,2066000000.0
2026Q1,46679000000.0,26032000000.0,45790000000.0,32226000000.0,7151000000.0
