ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,net_income,depreciation_and_amortization,share_based_compensation,net_cash_flow_from_operations,capital_expenditure,business_acquisitions_and_disposals,investment_acquisitions_and_disposals,net_cash_flow_from_investing,issuance_or_repayment_of_debt_securities,issuance_or_purchase_of_equity_shares,dividends_and_other_cash_distributions,net_cash_flow_from_financing,change_in_cash_and_equivalents,effect_of_exchange_rate_changes,ending_cash_balance,free_cash_flow,free_cash_flow_reported,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,debt_source,debt_definition,debt_sec_accession_number,debt_sec_filed,debt_sec_filing_url,cash_flow_normalization,fcf_source
GOOGL,2023Q1,2023-03-31,2023-Q1,quarterly,USD,0001652044-23-000045,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000045/0001652044-23-000045-index.htm,,,5284000000.0,23509000000.0,-6289000000.0,,-3510000000.0,-2946000000.0,,-14557000000.0,,-16568000000.0,4045000000.0,50000000.0,,17220000000.0,,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,direct quarter 2023-01-01 to 2023-03-31,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20230331.html,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
GOOGL,2023Q2,2023-06-30,2023-Q2,quarterly,USD,0001652044-23-000070,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000070/0001652044-23-000070-index.htm,,,5774000000.0,28666000000.0,-6888000000.0,,3382000000.0,-10800000000.0,,-14969000000.0,,-17835000000.0,5000000.0,-26000000.0,,21778000000.0,,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q1,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20230630.html,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
GOOGL,2023Q3,2023-09-30,2023-Q3,quarterly,USD,0001652044-23-000094,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000094/0001652044-23-000094-index.htm,,,5743000000.0,30656000000.0,-8055000000.0,,-1659000000.0,-7150000000.0,,-15787000000.0,,-18382000000.0,4773000000.0,-351000000.0,,22601000000.0,,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q2,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20230930.html,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
GOOGL,2023Q4,2023-12-31,2023-Q4,quarterly,USD,0001652044-24-000022,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,20687000000.0,3316000000.0,5659000000.0,18915000000.0,-11019000000.0,-29000000.0,4947000000.0,-6167000000.0,-437000000.0,-18871000000.0,0.0,-19308000000.0,-6654000000.0,-94000000.0,24048000000.0,7896000000.0,7896000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q3,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20231231.html,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
GOOGL,2024Q1,2024-03-31,2024-Q1,quarterly,USD,0001652044-24-000053,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/0001652044-24-000053-index.htm,,3413000000.0,5264000000.0,28848000000.0,-12012000000.0,,-3408000000.0,-8564000000.0,,-15696000000.0,,-19714000000.0,445000000.0,-125000000.0,,16836000000.0,,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,direct quarter 2024-01-01 to 2024-03-31,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20240331.html,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
GOOGL,2024Q2,2024-06-30,2024-Q2,quarterly,USD,0001652044-24-000079,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/0001652044-24-000079-index.htm,,3708000000.0,5865000000.0,26640000000.0,-13186000000.0,,-10564000000.0,-2781000000.0,,-15684000000.0,2466000000.0,-20889000000.0,2732000000.0,-238000000.0,,13454000000.0,,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q1,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20240630.html,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
GOOGL,2024Q3,2024-09-30,2024-Q3,quarterly,USD,0001652044-24-000118,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/0001652044-24-000118-index.htm,,3985000000.0,5846000000.0,30698000000.0,-13061000000.0,,-271000000.0,-18011000000.0,,-15291000000.0,2455000000.0,-20094000000.0,-7266000000.0,141000000.0,,17637000000.0,,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q2,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20240930.html,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
GOOGL,2024Q4,2024-12-31,2024-Q4,quarterly,USD,0001652044-25-000014,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,26536000000.0,4205000000.0,5810000000.0,39113000000.0,-14276000000.0,-91000000.0,-1646000000.0,-16180000000.0,1145000000.0,-18600000000.0,-2442000000.0,-19036000000.0,3507000000.0,-390000000.0,23466000000.0,24837000000.0,24837000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q3,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20241231.html,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
GOOGL,2025Q1,2025-03-31,2025-Q1,quarterly,USD,0001652044-25-000043,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.htm,,4583000000.0,5516000000.0,36150000000.0,-17197000000.0,,-1193000000.0,-16194000000.0,-192000000.0,-15068000000.0,2434000000.0,-20201000000.0,-202000000.0,43000000.0,,18953000000.0,,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,direct quarter 2025-01-01 to 2025-03-31,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20250331.html,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
GOOGL,2025Q2,2025-06-30,2025-Q2,quarterly,USD,0001652044-25-000062,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.htm,,5014000000.0,5998000000.0,27747000000.0,-22446000000.0,,1572000000.0,-24544000000.0,82000000.0,-13638000000.0,2543000000.0,-5832000000.0,-2228000000.0,401000000.0,,5301000000.0,,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q1,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20250630.html,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
GOOGL,2025Q3,2025-09-30,2025-Q3,quarterly,USD,0001652044-25-000091,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.htm,,5651000000.0,6368000000.0,48414000000.0,-23953000000.0,,1270000000.0,-27777000000.0,18000000.0,-11504000000.0,2536000000.0,-18383000000.0,2054000000.0,-200000000.0,,24461000000.0,,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q2,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20250930.html,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
GOOGL,2025Q4,2025-12-31,2025-Q4,quarterly,USD,0001652044-26-000018,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,34455000000.0,6040000000.0,7071000000.0,52402000000.0,-27851000000.0,-167000000.0,-23233000000.0,-51776000000.0,20229000000.0,-10665000000.0,-2536000000.0,7028000000.0,7618000000.0,-36000000.0,30708000000.0,24551000000.0,24551000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q3,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20251231.html,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
GOOGL,2026Q1,2026-03-31,2026-Q1,quarterly,USD,0001652044-26-000048,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,62578000000.0,6482000000.0,6751000000.0,45790000000.0,-35674000000.0,-33621000000.0,6902000000.0,-63389000000.0,29902000000.0,-5483000000.0,-2542000000.0,25077000000.0,7355000000.0,-123000000.0,38063000000.0,10116000000.0,10116000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,direct quarter 2026-01-01 to 2026-03-31,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20260331.html,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
